destination,cnt,country
02919,1406,USA
02920,1554,USA
02921,827,USA
02924,1,USA
02940,1,USA
03031,1072,USA
03032,524,USA
03033,592,USA
03034,308,USA
03036,489,USA
03037,417,USA
03038,1961,USA
03042,523,USA
03043,147,USA
03044,337,USA
03045,1004,USA
03046,246,USA
03047,100,USA
03048,196,USA
03049,862,USA
03051,1863,USA
03052,621,USA
03053,2005,USA
03054,2202,USA
03055,1031,USA
03057,258,USA
03060,1452,USA
03061,3,USA
03062,2049,USA
03063,1262,USA
03064,873,USA
03070,524,USA
03071,397,USA
03076,1147,USA
03077,621,USA
03079,1997,USA
03084,124,USA
03086,284,USA
03087,1478,USA
03101,310,USA
03102,1502,USA
03103,1460,USA
03104,1892,USA
03105,2,USA
03106,1007,USA
03109,696,USA
03110,2065,USA
03216,161,USA
03217,87,USA
03220,402,USA
03221,146,USA
03222,377,USA
03223,251,USA
03224,166,USA
03225,210,USA
03226,96,USA
03229,521,USA
03234,333,USA
03235,391,USA
03237,154,USA
03242,333,USA
03244,530,USA
03245,139,USA
03246,813,USA
03247,4,USA
03249,639,USA
03253,446,USA
03254,369,USA
03255,186,USA
03256,208,USA
03257,460,USA
03258,190,USA
03261,282,USA
03263,214,USA
03264,435,USA
03266,1,USA
03269,184,USA
03275,659,USA
03276,497,USA
03278,253,USA
03281,692,USA
03285,87,USA
03287,115,USA
03290,473,USA
03301,1923,USA
03303,870,USA
03304,757,USA
03307,350,USA
03431,1316,USA
03435,47,USA
03440,178,USA
03442,88,USA
03444,129,USA
03446,269,USA
03449,151,USA
03452,354,USA
03455,94,USA
03458,631,USA
03461,457,USA
03465,88,USA
03561,405,USA
03574,159,USA
03580,99,USA
03581,201,USA
03583,68,USA
03584,224,USA
03585,151,USA
03593,16,USA
03598,205,USA
03741,327,USA
03748,364,USA
03750,101,USA
03753,208,USA
03755,877,USA
03768,177,USA
03773,429,USA
03782,227,USA
03801,1914,USA
03804,8,USA
03809,291,USA
03810,116,USA
03811,483,USA
03813,221,USA
03816,91,USA
03818,143,USA
03819,285,USA
03820,2466,USA
03821,5,USA
03823,191,USA
03824,1128,USA
03825,760,USA
03826,159,USA
03827,304,USA
03833,1816,USA
03835,327,USA
03837,99,USA
03839,228,USA
03840,369,USA
03841,459,USA
03842,1143,USA
03843,13,USA
03844,184,USA
03845,1,USA
03848,420,USA
03851,204,USA
03852,34,USA
03853,1,USA
03855,173,USA
03856,142,USA
03857,758,USA
03858,402,USA
03860,202,USA
03861,357,USA
03862,348,USA
03865,503,USA
03866,9,USA
03867,1072,USA
03868,294,USA
03870,390,USA
03872,236,USA
03873,446,USA
03874,437,USA
03878,617,USA
03884,316,USA
03885,716,USA
03887,115,USA
03894,471,USA
03901,445,USA
03902,217,USA
03903,512,USA
03904,596,USA
03905,128,USA
03906,306,USA
03907,69,USA
03908,523,USA
03909,805,USA
04002,394,USA
04005,1217,USA
04008,203,USA
04009,370,USA
04011,1320,USA
04014,1,USA
04015,191,USA
04021,616,USA
04027,305,USA
04032,744,USA
04033,8,USA
04037,210,USA
04038,1371,USA
04039,537,USA
04040,135,USA
04042,282,USA
04043,819,USA
04046,568,USA
04048,156,USA
04049,192,USA
04050,2,USA
04055,266,USA
04057,1,USA
04061,193,USA
04062,1166,USA
04063,5,USA
04064,551,USA
04069,134,USA
04070,1,USA
04071,367,USA
04072,1346,USA
04073,719,USA
04074,1583,USA
04079,294,USA
04083,199,USA
04084,527,USA
04085,93,USA
04086,608,USA
04090,899,USA
04092,1184,USA
04093,480,USA
04096,736,USA
04097,392,USA
04098,1,USA
04101,1311,USA
04102,1389,USA
04103,2250,USA
04104,1,USA
04105,1172,USA
04106,1779,USA
04107,914,USA
04109,7,USA
04110,187,USA
04112,1,USA
04116,1,USA
04210,1075,USA
04211,2,USA
04216,1,USA
04217,218,USA
04220,145,USA
04222,329,USA
04236,226,USA
04239,166,USA
04240,1392,USA
04250,199,USA
04252,282,USA
04253,103,USA
04254,117,USA
04258,164,USA
04259,167,USA
04260,404,USA
04268,217,USA
04270,250,USA
04274,377,USA
04280,334,USA
04281,178,USA
04282,380,USA
04286,1,USA
04287,167,USA
04292,37,USA
04294,150,USA
04330,1198,USA
04332,1,USA
04333,6,USA
04344,150,USA
04345,678,USA
04346,89,USA
04347,165,USA
04348,203,USA
04350,189,USA
04351,156,USA
04355,137,USA
04357,237,USA
04364,345,USA
04401,2464,USA
04402,25,USA
04406,1,USA
04416,1,USA
04530,692,USA
04537,157,USA
04538,220,USA
04543,169,USA
04553,153,USA
04562,125,USA
04565,1,USA
04572,281,USA
04578,268,USA
04579,155,USA
04619,1,USA
04779,1,USA
04852,1,USA
04901,1147,USA
04917,152,USA
04918,2,USA
04937,260,USA
04963,1,USA
05001,550,USA
05033,159,USA
05055,333,USA
05059,50,USA
05091,1,USA
05401,962,USA
05403,721,USA
05404,1,USA
05405,1,USA
05439,17,USA
05446,562,USA
05451,1,USA
05452,755,USA
05453,2,USA
05641,1023,USA
05656,1,USA
05819,524,USA
05828,167,USA
06119,1,USA
06340,1,USA
06473,1,USA
06880,1,USA
11222,1,USA
11965,1,USA
12128,1,USA
12205,1,USA
13833,1,USA
14092,1,USA
14456,1,USA
19050,1,USA
20814,1,USA
21773,1,USA
21887,1,USA
22061,1,USA
22209,1,USA
22222,1,USA
22536,1,USA
23062,1,USA
23106,1,USA
23680,3,USA
23873,1,USA
23901,1,USA
24551,1,USA
28467,1,USA
31852,1,USA
31876,1,USA
31886,1,USA
32061,1,USA
32084,1,USA
32108,1,USA
32120,2,USA
32356,1,USA
32536,1,USA
32648,1,USA
32649,1,USA
32852,1,USA
32903,2,USA
32920,1,USA
32963,1,USA
33237,1,USA
33281,1,USA
33304,1,USA
33647,1,USA
33759,1,USA
33842,1,USA
33861,1,USA
34048,1,USA
34074,1,USA
34102,1,USA
34109,1,USA
34145,1,USA
34219,1,USA
34275,1,USA
34282,1,USA
34473,1,USA
34952,1,USA
40165,18,USA
40291,1,USA
40509,1,USA
40511,97,USA
41048,16,USA
58103,1,USA
72155,1,USA
89030,9,USA
89031,1,USA
98033,1,USA
