destination,cnt,country,lat,lon
01605,16,USA,42.289391,-71.788795
01606,21,USA,42.311029,-71.795774
01607,7,USA,42.230294,-71.793837
01608,2,USA,42.262425,-71.800262
01609,29,USA,42.275387,-71.817456
01610,20,USA,42.249186,-71.810798
01611,11,USA,42.237287,-71.874971
01612,37,USA,42.306646,-71.920234
01613,6,USA,42.2625,-71.8027
01701,49,USA,42.300665,-71.425486
01702,27,USA,42.2844,-71.4295
01718,1,USA,42.514941,-71.422354
01719,8,USA,42.486876,-71.518229
01720,48,USA,42.475076,-71.448255
01721,32,USA,42.253909,-71.458347
01730,139,USA,42.484287,-71.276796
01731,34,USA,42.464444,-71.284167
01740,12,USA,42.436523,-71.607593
01741,55,USA,42.528562,-71.351892
01742,33,USA,42.456701,-71.374741
01746,25,USA,42.202641,-71.436059
01747,10,USA,42.126796,-71.537601
01748,33,USA,42.219046,-71.530178
01749,25,USA,42.391796,-71.560896
01752,72,USA,42.350861,-71.543355
01754,29,USA,42.432118,-71.454975
01756,9,USA,42.096744,-71.549882
01757,37,USA,42.151142,-71.527402
01760,65,USA,42.287476,-71.35741
01770,8,USA,42.233088,-71.378717
01772,18,USA,42.293919,-71.531997
01773,10,USA,42.421723,-71.313723
01775,13,USA,42.430785,-71.515019
01776,46,USA,42.383655,-71.428159
01778,29,USA,42.348629,-71.358781
01801,160,USA,42.482894,-71.157404
01803,91,USA,42.508942,-71.200437
01810,273,USA,42.64956,-71.156481
01821,216,USA,42.551874,-71.251754
01824,215,USA,42.59356,-71.357521
01826,171,USA,42.676422,-71.318592
01827,35,USA,42.673917,-71.495201
01830,117,USA,42.785605,-71.072057
01831,2,USA,42.776111,-71.077778
01832,115,USA,42.779154,-71.109519
01833,62,USA,42.728067,-70.982239
01834,54,USA,42.753027,-71.027018
01835,72,USA,42.758597,-71.08549
01840,9,USA,42.707958,-71.16381
01841,69,USA,42.711545,-71.166997
01842,1,USA,42.706944,-71.163611
01843,60,USA,42.691053,-71.160506
01844,271,USA,42.728019,-71.181031
01845,214,USA,42.682583,-71.109004
01850,46,USA,42.656035,-71.305078
01851,88,USA,42.631548,-71.332882
01852,125,USA,42.634413,-71.298331
01853,1,USA,42.633333,-71.316667
01854,113,USA,42.649254,-71.335464
01860,48,USA,42.834629,-71.004658
01862,61,USA,42.575694,-71.290217
01863,63,USA,42.634737,-71.390834
01864,114,USA,42.581898,-71.094711
01867,117,USA,42.527986,-71.109021
01876,186,USA,42.60283,-71.223224
01879,95,USA,42.672383,-71.415766
01880,103,USA,42.500886,-71.068471
01886,224,USA,42.589959,-71.438143
01887,183,USA,42.558143,-71.172306
01890,104,USA,42.453028,-71.14407
01901,4,USA,42.463378,-70.945516
01902,121,USA,42.469814,-70.941989
01904,90,USA,42.487453,-70.962798
01905,78,USA,42.46453,-70.973825
01906,144,USA,42.463344,-71.011093
01907,123,USA,42.474611,-70.909774
01908,30,USA,42.426098,-70.927739
01913,111,USA,42.855879,-70.936681
01915,283,USA,42.560825,-70.875939
01921,83,USA,42.679719,-71.011372
01922,19,USA,42.756792,-70.935053
01923,163,USA,42.569402,-70.942461
01929,26,USA,42.628629,-70.782794
01930,217,USA,42.620836,-70.672149
01931,1,USA,42.615833,-70.6625
01938,118,USA,42.680877,-70.849353
01940,78,USA,42.532711,-71.033873
01944,46,USA,42.57963,-70.767434
01945,205,USA,42.498431,-70.865291
01949,54,USA,42.594184,-71.013004
01950,148,USA,42.812964,-70.884668
01951,24,USA,42.783475,-70.847377
01952,46,USA,42.850678,-70.858822
01960,274,USA,42.532579,-70.961194
01961,1,USA,42.527778,-70.929167
01966,52,USA,42.657973,-70.619424
01969,50,USA,42.713753,-70.90696
01970,222,USA,42.515114,-70.900343
01982,82,USA,42.618478,-70.856132
01983,58,USA,42.641546,-70.948843
01984,37,USA,42.60166,-70.878622
01985,49,USA,42.794865,-70.977811
02019,19,USA,42.074573,-71.476829
02021,51,USA,42.164454,-71.135536
02025,86,USA,42.239484,-70.812788
02026,51,USA,42.243685,-71.163741
02030,18,USA,42.236233,-71.285363
02032,5,USA,42.15324,-71.2179
02035,25,USA,42.064938,-71.244127
02038,52,USA,42.09347,-71.405786
02043,55,USA,42.224485,-70.891051
02045,19,USA,42.285346,-70.875442
02048,40,USA,42.021238,-71.217775
02050,191,USA,42.106177,-70.69931
02052,29,USA,42.184525,-71.304813
02053,19,USA,42.151363,-71.421715
02054,12,USA,42.166938,-71.360693
02056,22,USA,42.117746,-71.326934
02061,27,USA,42.159574,-70.82172
02062,57,USA,42.186843,-71.203313
02066,148,USA,42.203235,-70.752476
02067,39,USA,42.109388,-71.175872
02072,42,USA,42.125279,-71.107357
02081,36,USA,42.144413,-71.254391
02090,38,USA,42.214824,-71.210426
02093,21,USA,42.061746,-71.339568
02108,23,USA,42.357603,-71.068432
02109,42,USA,42.362963,-71.053386
02110,26,USA,42.357636,-71.051417
02111,37,USA,42.350348,-71.0629
02113,44,USA,42.365656,-71.055958
02114,57,USA,42.361111,-71.06823
02115,120,USA,42.342706,-71.092215
02116,109,USA,42.349201,-71.076798
02117,1,USA,42.3503,-71.0762
02118,97,USA,42.340154,-71.075627
02119,32,USA,42.322414,-71.086923
02120,37,USA,42.332844,-71.097978
02121,19,USA,42.307503,-71.08305
02122,38,USA,42.297278,-71.058304
02123,1,USA,42.345,-71.0876
02124,43,USA,42.287984,-71.072898
02125,66,USA,42.315305,-71.061924
02126,13,USA,42.273889,-71.093871
02127,103,USA,42.333454,-71.043792
02128,88,USA,42.378137,-71.028682
02129,73,USA,42.377815,-71.062715
02130,92,USA,42.312596,-71.111495
02131,49,USA,42.283615,-71.129543
02132,53,USA,42.27868,-71.158868
02134,66,USA,42.353519,-71.132866
02135,109,USA,42.34779,-71.156599
02136,45,USA,42.253989,-71.126052
02138,154,USA,42.377045,-71.125611
02139,186,USA,42.364688,-71.104155
02140,90,USA,42.391366,-71.129379
02141,68,USA,42.370701,-71.088277
02142,23,USA,42.362025,-71.083011
02143,123,USA,42.382945,-71.102814
02144,122,USA,42.40032,-71.122059
02145,70,USA,42.390678,-71.092944
02148,194,USA,42.42911,-71.060507
02149,105,USA,42.411199,-71.051448
02150,45,USA,42.396252,-71.032521
02151,130,USA,42.413767,-71.005165
02152,65,USA,42.376294,-70.980043
02155,214,USA,42.417335,-71.108686
02156,1,USA,42.422222,-71.133333
02163,3,USA,42.364005,-71.141879
02169,111,USA,42.249133,-70.997816
02170,37,USA,42.26713,-71.018644
02171,38,USA,42.282519,-71.024141
02176,128,USA,42.458066,-71.063191
02180,90,USA,42.482778,-71.0978
02184,79,USA,42.209284,-70.996304
02186,70,USA,42.253663,-71.077051
02188,28,USA,42.211327,-70.958248
02189,15,USA,42.211606,-70.931671
02190,22,USA,42.172817,-70.94869
02191,14,USA,42.243564,-70.944318
02199,14,USA,42.347873,-71.082543
02201,1,USA,42.3624,-71.0628
02205,3,USA,42.348,-71.0551
02210,38,USA,42.348921,-71.046511
02215,84,USA,42.347088,-71.102689
02269,1,USA,42.252778,-71.002778
02301,50,USA,42.08,-71.0377
02302,31,USA,42.088,-71.0018
02303,1,USA,42.0828,-71.0164
02304,1,USA,42.0635,-71.0157
02322,9,USA,42.125825,-71.043738
02324,180,USA,41.977341,-70.97234
02330,70,USA,41.888265,-70.767754
02332,118,USA,42.039936,-70.716257
02333,101,USA,42.031478,-70.944964
02338,58,USA,42.000159,-70.844794
02339,32,USA,42.121406,-70.857006
02341,71,USA,42.061627,-70.865053
02343,10,USA,42.14641,-71.008273
02344,1,USA,41.8938,-70.9187
02346,144,USA,41.888396,-70.892965
02347,75,USA,41.837377,-70.958195
02351,23,USA,42.116715,-70.954293
02356,15,USA,42.058956,-71.112337
02359,120,USA,42.062072,-70.804404
02360,394,USA,41.910404,-70.642004
02364,111,USA,41.995022,-70.740993
02367,31,USA,41.96549,-70.804582
02368,43,USA,42.173587,-71.051392
02370,33,USA,42.129286,-70.913263
02375,13,USA,42.025704,-71.098814
02379,11,USA,42.025511,-71.016054
02382,25,USA,42.081603,-70.938127
02420,72,USA,42.4558,-71.2193
02421,81,USA,42.4373,-71.236
02445,61,USA,42.3302,-71.1304
02446,103,USA,42.3443,-71.1201
02451,44,USA,42.3954,-71.2508
02452,17,USA,42.3919,-71.2205
02453,45,USA,42.371111,-71.234444
02454,1,USA,42.3888,-71.2426
02458,39,USA,42.3545,-71.1877
02459,52,USA,42.336944,-71.209722
02460,21,USA,42.3521,-71.2081
02461,24,USA,42.320833,-71.2
02462,1,USA,42.329167,-71.254167
02464,8,USA,42.313889,-71.22
02465,39,USA,42.35,-71.233333
02466,20,USA,42.347222,-71.25
02467,58,USA,42.330556,-71.166667
02468,17,USA,42.327778,-71.227778
02472,80,USA,42.3704,-71.1757
02474,138,USA,42.404167,-71.147222
02476,84,USA,42.415278,-71.156944
02478,117,USA,42.395833,-71.179167
02481,36,USA,42.3133,-71.2695
02482,34,USA,42.2986,-71.3016
02492,52,USA,42.2778,-71.235
02493,16,USA,42.366667,-71.303611
02494,35,USA,42.2997,-71.2321
02532,65,USA,41.752918,-70.593168
02536,131,USA,41.58504,-70.565174
02537,58,USA,41.684603,-70.46822
02538,19,USA,41.768247,-70.653237
02540,48,USA,41.564754,-70.621663
02542,8,USA,41.660927,-70.57383
02543,8,USA,41.526272,-70.66431
02556,19,USA,41.641677,-70.623043
02559,17,USA,41.688115,-70.610512
02562,14,USA,41.798333,-70.529444
02563,80,USA,41.698304,-70.469325
02571,52,USA,41.754084,-70.711594
02576,14,USA,41.779617,-70.764179
02601,46,USA,41.653682,-70.298176
02630,9,USA,41.698289,-70.300067
02631,91,USA,41.749179,-70.069868
02632,85,USA,41.660585,-70.353196
02633,36,USA,41.687634,-69.980758
02635,17,USA,41.696025,-70.433431
02638,17,USA,41.732166,-70.191054
02639,16,USA,41.664873,-70.132711
02642,26,USA,41.840781,-69.984865
02644,30,USA,41.682695,-70.514317
02645,77,USA,41.70082,-70.057929
02648,70,USA,41.670274,-70.416321
02649,109,USA,41.618116,-70.485361
02652,4,USA,42.033779,-70.08751
02653,35,USA,41.779161,-69.982198
02655,17,USA,41.63005,-70.383726
02657,43,USA,42.053364,-70.186504
02660,49,USA,41.709711,-70.15851
02664,61,USA,41.672805,-70.19731
02666,2,USA,41.998792,-70.056362
02667,22,USA,41.928934,-70.018587
02668,24,USA,41.700212,-70.371985
02673,47,USA,41.661367,-70.236297
02675,49,USA,41.705149,-70.227014
02702,31,USA,41.797458,-71.060736
02703,66,USA,41.929599,-71.30092
02715,26,USA,41.812505,-71.142723
02717,38,USA,41.763455,-70.967709
02718,44,USA,41.873585,-71.019225
02719,96,USA,41.640924,-70.889608
02720,116,USA,41.718221,-71.139991
02721,74,USA,41.688305,-71.157424
02722,2,USA,41.701389,-71.155556
02723,48,USA,41.692612,-71.133214
02724,39,USA,41.684975,-71.174822
02725,16,USA,41.722299,-71.177971
02726,96,USA,41.756012,-71.149206
02738,33,USA,41.709526,-70.761261
02739,46,USA,41.661845,-70.816357
02740,118,USA,41.634749,-70.9372
02743,81,USA,41.6997,-70.908652
02744,17,USA,41.612716,-70.916746
02745,95,USA,41.691337,-70.935545
02746,26,USA,41.659972,-70.93243
02747,109,USA,41.633789,-70.995769
02748,62,USA,41.591728,-70.956521
02760,40,USA,41.977542,-71.329757
02761,1,USA,41.983333,-71.333333
02762,14,USA,42.012403,-71.327454
02763,7,USA,41.970979,-71.310353
02764,30,USA,41.852874,-71.148523
02766,30,USA,41.971801,-71.189441
02767,92,USA,41.932361,-71.046856
02769,16,USA,41.85152,-71.254453
02770,43,USA,41.759082,-70.852257
02771,100,USA,41.837835,-71.322406
02777,107,USA,41.74734,-71.212167
02779,65,USA,41.835325,-71.076534
02780,211,USA,41.905007,-71.10261
02790,109,USA,41.621127,-71.089003
02806,30,USA,41.744334,-71.317497
02809,128,USA,41.68247,-71.267558
02812,14,USA,41.46941,-71.650279
02813,44,USA,41.400749,-71.661455
02814,64,USA,41.91549,-71.679483
02816,192,USA,41.69143,-71.576794
02817,46,USA,41.639977,-71.643549
02818,176,USA,41.649777,-71.474009
02822,46,USA,41.574031,-71.607626
02825,41,USA,41.781455,-71.718748
02827,13,USA,41.706151,-71.735607
02828,38,USA,41.873409,-71.556923
02830,60,USA,41.976379,-71.653405
02831,24,USA,41.751603,-71.561225
02832,39,USA,41.506974,-71.734862
02835,56,USA,41.516405,-71.376108
02836,1,USA,41.477694,-71.683992
02837,34,USA,41.52204,-71.161215
02838,14,USA,41.96888,-71.474113
02840,128,USA,41.504502,-71.30348
02842,118,USA,41.545556,-71.291944
02852,181,USA,41.589426,-71.462494
02857,62,USA,41.8439,-71.624187
02858,3,USA,41.963637,-71.642925
02859,45,USA,41.962728,-71.709866
02860,106,USA,41.872873,-71.390713
02861,117,USA,41.881384,-71.356001
02863,29,USA,41.888263,-71.394527
02864,45,USA,41.948352,-71.415419
02865,119,USA,41.908906,-71.434777
02871,127,USA,41.594397,-71.252018
02874,50,USA,41.510528,-71.442693
02878,115,USA,41.633839,-71.180823
02879,141,USA,41.430195,-71.525138
02881,33,USA,41.480295,-71.529239
02882,98,USA,41.435313,-71.46164
02885,55,USA,41.725618,-71.270165
02886,158,USA,41.702601,-71.447591
02888,111,USA,41.74936,-71.40836
02889,159,USA,41.714069,-71.390146
02892,45,USA,41.506716,-71.599076
02893,159,USA,41.700433,-71.518349
02895,128,USA,41.99948,-71.513683
02896,72,USA,41.966667,-71.55
02903,15,USA,41.820002,-71.415801
02904,97,USA,41.860461,-71.438102
02905,92,USA,41.786568,-71.403146
02906,46,USA,41.835104,-71.397065
02907,40,USA,41.800842,-71.424039
02908,26,USA,41.838294,-71.437684
02909,75,USA,41.816777,-71.448165
02910,100,USA,41.776572,-71.438331
02911,13,USA,41.853412,-71.474058
02914,14,USA,41.813777,-71.368785
02915,18,USA,41.772313,-71.354244
02916,9,USA,41.842472,-71.355938
02917,79,USA,41.896382,-71.520666
02918,2,USA,41.8454,-71.4398
02919,139,USA,41.826431,-71.497646
02920,171,USA,41.77157,-71.465889
02921,67,USA,41.761357,-71.506102
03031,120,USA,42.856944,-71.607536
03032,82,USA,42.992529,-71.344892
03033,73,USA,42.738442,-71.666254
03034,40,USA,43.058514,-71.304857
03036,60,USA,42.967756,-71.244962
03037,62,USA,43.137756,-71.251264
03038,221,USA,42.887404,-71.301971
03042,54,USA,43.041052,-71.076367
03043,11,USA,42.991952,-71.81131
03044,42,USA,42.984016,-71.121836
03045,101,USA,43.018224,-71.56264
03046,31,USA,43.109444,-71.599167
03047,14,USA,42.949277,-71.872755
03048,17,USA,42.7489,-71.784487
03049,93,USA,42.748513,-71.577206
03051,211,USA,42.769038,-71.412144
03052,75,USA,42.844167,-71.480278
03053,217,USA,42.865555,-71.37719
03054,225,USA,42.866689,-71.51278
03055,121,USA,42.828497,-71.660569
03057,24,USA,42.897597,-71.676243
03060,145,USA,42.756395,-71.466684
03062,249,USA,42.723472,-71.489282
03063,115,USA,42.771686,-71.513156
03064,100,USA,42.7749,-71.4753
03070,52,USA,42.97217,-71.686402
03071,31,USA,42.751142,-71.870318
03076,115,USA,42.72881,-71.304551
03077,70,USA,43.032512,-71.191159
03079,223,USA,42.78465,-71.21761
03084,7,USA,42.820035,-71.852347
03086,21,USA,42.836761,-71.754066
03087,160,USA,42.805106,-71.306735
03101,29,USA,42.992858,-71.463255
03102,155,USA,42.99442,-71.488433
03103,156,USA,42.965563,-71.449325
03104,170,USA,43.007307,-71.448233
03105,1,USA,42.9925,-71.4635
03106,112,USA,43.061708,-71.444446
03109,70,USA,42.971349,-71.413474
03110,215,USA,42.940307,-71.52127
03216,19,USA,43.428668,-71.782952
03217,11,USA,43.703428,-71.612085
03220,46,USA,43.451189,-71.488991
03221,18,USA,43.294343,-71.985048
03222,24,USA,43.611994,-71.750664
03223,24,USA,43.888507,-71.636142
03224,25,USA,43.357041,-71.557008
03225,20,USA,43.356563,-71.24244
03226,5,USA,43.710688,-71.47973
03229,58,USA,43.218898,-71.696299
03234,28,USA,43.217398,-71.354576
03235,51,USA,43.442569,-71.649122
03237,16,USA,43.417476,-71.412063
03242,49,USA,43.179091,-71.815921
03244,66,USA,43.120709,-71.902818
03245,10,USA,43.731944,-71.588889
03246,85,USA,43.538713,-71.452907
03249,69,USA,43.5475,-71.407222
03253,45,USA,43.650208,-71.511327
03254,43,USA,43.728133,-71.392245
03255,19,USA,43.340556,-72.071389
03256,24,USA,43.618393,-71.643513
03257,41,USA,43.414501,-71.985674
03258,27,USA,43.249167,-71.400278
03261,32,USA,43.206965,-71.200423
03263,21,USA,43.287384,-71.33303
03264,37,USA,43.763524,-71.684714
03269,31,USA,43.549552,-71.600348
03275,64,USA,43.147554,-71.439663
03276,47,USA,43.46033,-71.577413
03278,29,USA,43.303512,-71.835349
03281,99,USA,43.071422,-71.70376
03285,8,USA,none,none
03287,10,USA,43.432177,-71.900983
03290,35,USA,43.119632,-71.110983
03301,211,USA,43.218525,-71.527734
03303,83,USA,43.285285,-71.612723
03304,91,USA,43.138788,-71.544814
03307,51,USA,43.285556,-71.467778
03431,152,USA,42.943127,-72.28954
03435,2,USA,42.933611,-72.278611
03440,22,USA,43.059547,-71.938698
03442,13,USA,43.010309,-71.91534
03444,15,USA,42.897198,-72.050538
03446,34,USA,42.884137,-72.249298
03449,17,USA,42.976817,-71.981858
03452,38,USA,42.81779,-72.027514
03455,8,USA,42.898804,-72.201292
03458,60,USA,42.88559,-71.946964
03461,51,USA,42.754391,-72.019038
03465,9,USA,42.82697,-72.184753
03561,43,USA,44.311187,-71.776816
03574,14,USA,44.280846,-71.682929
03580,14,USA,44.205273,-71.751822
03581,19,USA,44.399601,-71.179983
03583,6,USA,44.399907,-71.451834
03584,25,USA,44.492074,-71.559115
03585,8,USA,44.214837,-71.896565
03593,3,USA,44.375278,-71.280278
03598,17,USA,44.36811,-71.603453
03741,33,USA,43.660092,-72.029724
03748,30,USA,43.625584,-72.127014
03750,8,USA,43.711333,-72.212479
03753,15,USA,43.510324,-72.133437
03755,60,USA,43.704532,-72.28496
03768,14,USA,43.791327,-72.161993
03773,38,USA,43.353228,-72.183789
03782,22,USA,43.386816,-72.095044
03801,152,USA,43.066524,-70.780412
03809,21,USA,43.46302,-71.229709
03810,12,USA,43.484468,-71.24888
03811,48,USA,42.836981,-71.1603
03813,21,USA,43.98776,-71.060677
03816,11,USA,43.690205,-71.265059
03818,11,USA,43.974161,-71.15028
03819,28,USA,42.923432,-71.120985
03820,256,USA,43.190006,-70.884881
03823,16,USA,43.169167,-70.924444
03824,83,USA,43.133821,-70.952333
03825,76,USA,43.2027,-71.037675
03826,20,USA,42.887656,-71.127978
03827,36,USA,42.911289,-70.976904
03833,198,USA,42.977169,-70.964306
03835,42,USA,43.388373,-71.064693
03837,8,USA,43.425281,-71.330315
03839,26,USA,43.268374,-70.976642
03840,23,USA,43.035294,-70.847476
03841,60,USA,42.881957,-71.175802
03842,128,USA,42.935883,-70.824336
03843,3,USA,42.9375,-70.839444
03844,16,USA,42.926323,-70.887608
03848,37,USA,42.913258,-71.063914
03851,37,USA,43.409722,-70.988889
03852,2,USA,43.502494,-70.969729
03855,17,USA,43.443045,-71.140828
03856,20,USA,43.036944,-70.938889
03857,71,USA,43.072628,-70.955317
03858,40,USA,42.867805,-71.042021
03860,15,USA,44.033613,-71.123811
03861,26,USA,none,none
03862,38,USA,42.977625,-70.826738
03865,54,USA,42.835551,-71.093397
03866,1,USA,43.304444,-70.976111
03867,137,USA,43.309203,-71.055753
03868,32,USA,43.31256,-70.968581
03870,35,USA,43.009468,-70.765153
03872,27,USA,43.551278,-71.020005
03873,46,USA,42.930819,-71.18606
03874,50,USA,42.88536,-70.86464
03878,65,USA,43.252546,-70.875589
03884,29,USA,43.250575,-71.162475
03885,82,USA,43.019432,-70.899714
03887,18,USA,43.4382,-71.020857
03894,38,USA,43.594996,-71.190843
03901,38,USA,43.28992,-70.855038
03902,24,USA,43.213318,-70.639685
03903,59,USA,43.130943,-70.782216
03904,53,USA,43.092128,-70.742876
03905,17,USA,43.097571,-70.712108
03906,36,USA,43.325401,-70.721173
03907,8,USA,43.228457,-70.597176
03908,55,USA,43.229201,-70.785949
03909,71,USA,43.154447,-70.657826
04002,55,USA,43.487503,-70.696087
04005,134,USA,43.483647,-70.471928
04008,17,USA,44.036806,-69.918849
04009,28,USA,44.052049,-70.724081
04011,165,USA,43.897591,-69.955469
04015,17,USA,43.959623,-70.526013
04021,66,USA,43.809818,-70.2484
04027,43,USA,43.410304,-70.910986
04032,73,USA,43.851093,-70.113854
04037,26,USA,44.031278,-70.966841
04038,146,USA,43.684329,-70.467968
04039,63,USA,43.894202,-70.342939
04040,15,USA,44.107099,-70.653855
04042,30,USA,43.594578,-70.605074
04043,73,USA,43.388055,-70.547802
04046,46,USA,43.392288,-70.472867
04048,19,USA,43.696265,-70.786556
04049,27,USA,43.726031,-70.675178
04055,22,USA,43.968121,-70.598754
04061,32,USA,43.639976,-70.729799
04062,116,USA,43.795771,-70.414281
04064,56,USA,43.517449,-70.392053
04069,15,USA,43.890042,-70.195497
04071,35,USA,43.921917,-70.449834
04072,115,USA,43.520946,-70.454632
04073,73,USA,43.428541,-70.758479
04074,159,USA,43.583476,-70.345668
04079,24,USA,43.781932,-69.993709
04083,25,USA,43.471499,-70.806445
04084,75,USA,43.814211,-70.480657
04085,13,USA,43.757137,-70.645627
04086,82,USA,43.941286,-69.964479
04090,67,USA,43.314352,-70.596883
04092,110,USA,43.684268,-70.358033
04093,63,USA,43.661586,-70.601546
04096,64,USA,43.800933,-70.174958
04097,41,USA,43.829722,-70.276944
04101,101,USA,43.660564,-70.258864
04102,99,USA,43.660168,-70.28981
04103,196,USA,43.687568,-70.2876
04105,105,USA,43.734038,-70.26253
04106,207,USA,43.631847,-70.270878
04107,80,USA,43.601735,-70.230099
04110,24,USA,43.774485,-70.188333
04210,124,USA,44.094785,-70.238978
04217,21,USA,44.416176,-70.803685
04220,17,USA,44.287676,-70.368293
04222,34,USA,43.928333,-70.123611
04236,21,USA,44.189059,-70.145532
04239,19,USA,44.515994,-70.209883
04240,171,USA,44.098538,-70.191619
04250,24,USA,44.025511,-70.113933
04252,35,USA,43.997759,-70.073375
04253,10,USA,44.383889,-70.249722
04254,17,USA,44.445756,-70.193614
04258,14,USA,44.085556,-70.320556
04259,21,USA,44.22083,-70.02627
04260,56,USA,43.960835,-70.297381
04268,42,USA,44.212654,-70.560135
04270,23,USA,44.11183,-70.509799
04274,41,USA,44.021162,-70.379664
04280,40,USA,44.113269,-70.074792
04281,24,USA,44.216674,-70.501179
04282,49,USA,44.255669,-70.249444
04287,26,USA,44.045833,-70.025833
04292,3,USA,44.372804,-70.432314
04294,17,USA,44.59107,-70.296064
04330,122,USA,44.323228,-69.766548
04333,1,USA,44.3071,-69.7836
04344,21,USA,44.25233,-69.791313
04345,79,USA,44.207029,-69.785774
04346,4,USA,44.228704,-69.774918
04347,16,USA,44.286414,-69.805738
04348,17,USA,44.189419,-69.483895
04350,32,USA,44.163437,-69.958071
04351,32,USA,44.308375,-69.884657
04355,19,USA,44.403221,-69.950634
04357,31,USA,44.104213,-69.821077
04359,1,USA,44.18,-69.757222
04364,54,USA,44.314031,-69.973128
04401,259,USA,44.824199,-68.791839
04530,77,USA,43.906155,-69.826565
04537,10,USA,43.894497,-69.627322
04538,12,USA,43.854559,-69.61844
04543,8,USA,44.029313,-69.504237
04553,14,USA,44.049866,-69.533113
04562,12,USA,43.768816,-69.814982
04572,38,USA,44.104601,-69.374537
04578,33,USA,44.007444,-69.682576
04579,15,USA,43.950317,-69.789098
04901,128,USA,44.547967,-69.635917
04917,20,USA,44.46875,-69.860636
04937,34,USA,44.609639,-69.63321
05001,41,USA,43.663431,-72.350351
05033,19,USA,44.0006,-72.140638
05055,31,USA,43.740373,-72.30162
05059,6,USA,43.646111,-72.418889
05641,107,USA,44.194522,-72.493619
23109,1,USA,37.438349,-76.354416
23680,1,USA,none,none
32921,1,USA,none,none
41048,1,USA,39.07553,-84.700745
